Layers,Powder_Hight,SCanPowder_hight_delta,Entity_hight_delta,Entity_hight,,,
210,6.3,0.0600004,0.0300002,6.27,,,
211,6.33,0.0599999,0.03,6.3,,,
212,6.36,0.0599999,0.03,6.33,,,
213,6.39,0.0599999,0.03,6.36,,,
214,6.42,0.0600004,0.0300002,6.39,,,
215,6.45,0.0599999,0.03,6.42,,,
216,6.48,0.0599999,0.03,6.45,,,
217,6.51,0.0600004,0.0300002,6.48,,,
218,6.54,0.0599999,0.03,6.51,,,
219,6.57,0.0599999,0.03,6.54,,,
220,6.6,0.0599999,0.03,6.57,,,
221,6.63,0.0600004,0.0300002,6.6,,,
222,6.66,0.0599999,0.03,6.63,,,
223,6.69,0.0599999,0.03,6.66,,,
224,6.72,0.0599999,0.03,6.69,,,
225,6.75,0.0600004,0.0300002,6.72,,,
226,6.78,0.0600004,0.0300002,6.75,,,
227,6.81,0.0599999,0.03,6.78,,,
228,6.84,0.0600004,0.0300002,6.81,,,
229,6.87,0.0599999,0.03,6.84,,,
230,6.9,0.0599999,0.03,6.87,,,
231,6.93,0.0599999,0.03,6.9,,,
232,6.96,0.0600004,0.0300002,6.93,,,
233,6.99,0.0599999,0.03,6.96,,,
234,7.02,0.0599999,0.03,6.99,,,
235,7.05,0.0600004,0.0300002,7.02,,,
236,7.08,0.0599999,0.03,7.05,,,
237,7.11,0.0599999,0.03,7.08,,,
238,7.14,0.0599999,0.03,7.11,,,
239,7.17,0.0600004,0.0300002,7.14,,,
240,7.2,0.0599999,0.03,7.17,,,
241,7.23,0.0599999,0.03,7.2,,,
242,7.26,0.0600004,0.0300002,7.23,,,
243,7.29,0.0599999,0.03,7.26,,,
244,7.32,0.0599999,0.03,7.29,,,
245,7.35,0.0599999,0.03,7.32,,,
246,7.38,0.0600004,0.0300002,7.35,,,
247,7.41,0.0599999,0.03,7.38,,,
248,7.44,0.0599999,0.03,7.41,,,
249,7.47,0.0599999,0.03,7.44,,,
250,7.5,0.0600004,0.0300002,7.47,,,
251,7.53,0.0600004,0.0300002,7.5,,,
252,7.56,0.0599999,0.03,7.53,,,
253,7.59,0.0600004,0.0300002,7.56,,,
254,7.62,0.0599999,0.03,7.59,,,
255,7.65,0.0599999,0.03,7.62,,,
256,7.68,0.0599999,0.03,7.65,,,
257,7.71,0.0600004,0.0300002,7.68,,,
258,7.74,0.0599999,0.03,7.71,,,
259,7.77,0.0599999,0.03,7.74,,,
260,7.8,0.0600004,0.0300002,7.77,,,
261,7.83,0.0599999,0.03,7.8,,,
262,7.86,0.0599999,0.03,7.83,,,
263,7.89,0.0599999,0.03,7.86,,,
264,7.92,0.0600004,0.0300002,7.89,,,
265,7.95,0.0599999,0.03,7.92,,,
266,7.98,0.0599999,0.03,7.95,,,
267,8.01,0.0600004,0.0300002,7.98,,,
268,8.04,0.0599999,0.03,8.01,,,
269,8.07,0.0599995,0.0299997,8.04,,,
270,8.1,0.0600004,0.0300002,8.07,,,
271,8.13,0.0600004,0.0300002,8.1,,,
272,8.16,0.0599995,0.0299997,8.13,,,
273,8.19,0.0599995,0.0299997,8.16,,,
274,8.22,0.0600004,0.0300002,8.19,,,
275,8.25,0.0599995,0.0299997,8.22,,,
